top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,result
x,x,b,o,o,o,b,b,x,o won
x,x,b,b,x,b,o,o,o,o won
x,x,b,b,b,x,o,o,o,o won
x,o,x,x,x,b,o,o,o,o won
x,o,x,x,o,x,o,o,b,o won
x,o,x,x,o,x,b,o,o,o won
x,o,x,x,o,o,b,o,x,o won
x,o,x,x,o,b,o,o,x,o won
x,o,x,x,o,b,b,o,b,o won
x,o,x,x,b,x,o,o,o,o won
x,o,x,o,o,x,x,o,b,o won
x,o,x,o,o,o,x,x,b,o won
x,o,x,o,o,o,x,b,x,o won
x,o,x,o,o,o,b,x,x,o won
x,o,x,o,o,b,x,o,x,o won
x,o,x,b,x,x,o,o,o,o won
x,o,x,b,o,x,x,o,o,o won
x,o,x,b,o,x,b,o,b,o won
x,o,x,b,o,o,x,o,x,o won
x,o,x,b,o,b,x,o,b,o won
x,o,x,b,o,b,b,o,x,o won
x,o,o,x,x,o,b,x,o,o won
x,o,o,x,o,x,o,x,b,o won
x,o,o,x,o,x,o,b,x,o won
x,o,o,x,o,x,b,o,x,o won
x,o,o,x,o,b,o,x,x,o won
x,o,o,b,x,o,x,x,o,o won
x,o,o,b,o,x,x,o,x,o won
x,o,o,b,o,x,o,x,x,o won
x,o,b,x,o,x,o,o,x,o won
x,o,b,x,o,x,b,o,b,o won
x,o,b,x,o,b,b,o,x,o won
x,o,b,o,o,x,x,o,x,o won
x,o,b,b,o,x,x,o,b,o won
x,o,b,b,o,x,b,o,x,o won
x,o,b,b,o,b,x,o,x,o won
x,b,x,x,x,o,o,o,o,o won
x,b,x,x,o,x,o,o,o,o won
x,b,x,x,b,b,o,o,o,o won
x,b,x,o,x,x,o,o,o,o won
x,b,x,o,o,o,x,x,o,o won
x,b,x,o,o,o,x,o,x,o won
x,b,x,o,o,o,x,b,b,o won
x,b,x,o,o,o,o,x,x,o won
x,b,x,o,o,o,b,x,b,o won
x,b,x,o,o,o,b,b,x,o won
x,b,x,b,x,b,o,o,o,o won
x,b,x,b,b,x,o,o,o,o won
x,b,o,x,x,o,o,x,o,o won
x,b,o,x,x,o,b,b,o,o won
x,b,o,x,o,x,o,x,o,o won
x,b,o,x,o,x,o,o,x,o won
x,b,o,x,o,x,o,b,b,o won
x,b,o,x,o,o,o,x,x,o won
x,b,o,x,o,b,o,x,b,o won
x,b,o,x,o,b,o,b,x,o won
x,b,o,x,b,o,b,x,o,o won
x,b,o,o,x,o,x,x,o,o won
x,b,o,o,o,x,o,x,x,o won
x,b,o,b,x,o,x,b,o,o won
x,b,o,b,x,o,b,x,o,o won
x,b,o,b,o,x,o,x,b,o won
x,b,o,b,o,x,o,b,x,o won
x,b,o,b,o,b,o,x,x,o won
x,b,o,b,b,o,x,x,o,o won
x,b,b,x,x,b,o,o,o,o won
x,b,b,x,b,x,o,o,o,o won
x,b,b,o,o,o,x,x,b,o won
x,b,b,o,o,o,x,b,x,o won
x,b,b,o,o,o,b,x,x,o won
x,b,b,b,x,x,o,o,o,o won
o,x,x,x,x,b,o,o,o,o won
o,x,x,x,o,x,o,b,o,o won
o,x,x,x,o,x,b,o,o,o won
o,x,x,x,o,o,x,b,o,o won
o,x,x,x,o,o,b,x,o,o won
o,x,x,x,o,b,x,o,o,o won
o,x,x,x,o,b,o,x,o,o won
o,x,x,x,o,b,b,b,o,o won
o,x,x,x,b,x,o,o,o,o won
o,x,x,o,x,x,o,o,b,o won
o,x,x,o,x,x,o,b,o,o won
o,x,x,o,x,o,o,b,x,o won
o,x,x,o,x,b,o,o,x,o won
o,x,x,o,x,b,o,b,b,o won
o,x,x,o,o,x,x,b,o,o won
o,x,x,o,o,x,o,x,b,o won
o,x,x,o,o,x,b,x,o,o won
o,x,x,o,o,o,x,x,b,o won
o,x,x,o,o,o,x,b,x,o won
o,x,x,o,o,o,b,x,x,o won
o,x,x,o,o,b,x,x,o,o won
o,x,x,o,o,b,o,x,x,o won
o,x,x,o,b,x,o,x,o,o won
o,x,x,o,b,x,o,b,b,o won
o,x,x,o,b,o,o,x,x,o won
o,x,x,o,b,b,o,x,b,o won
o,x,x,o,b,b,o,b,x,o won
o,x,x,b,x,x,o,o,o,o won
o,x,x,b,o,x,x,o,o,o won
o,x,x,b,o,x,o,x,o,o won
o,x,x,b,o,x,b,b,o,o won
o,x,x,b,o,o,x,x,o,o won
o,x,x,b,o,b,x,b,o,o won
o,x,x,b,o,b,b,x,o,o won
o,x,o,x,x,o,x,b,o,o won
o,x,o,x,o,x,x,b,o,o won
o,x,o,x,o,x,o,x,b,o won
o,x,o,x,o,x,o,b,x,o won
o,x,o,x,o,x,b,x,o,o won
o,x,o,x,o,b,x,x,o,o won
o,x,o,x,o,b,o,x,x,o won
o,x,o,x,b,o,x,x,o,o won
o,x,o,o,x,x,o,b,x,o won
o,x,o,o,b,x,o,x,x,o won
o,x,o,b,o,x,x,x,o,o won
o,x,o,b,o,x,o,x,x,o won
o,x,b,x,o,x,x,o,o,o won
o,x,b,x,o,x,o,x,o,o won
o,x,b,x,o,x,b,b,o,o won
o,x,b,x,o,o,x,x,o,o won
o,x,b,x,o,b,x,b,o,o won
o,x,b,x,o,b,b,x,o,o won
o,x,b,o,x,x,o,o,x,o won
o,x,b,o,x,x,o,b,b,o won
o,x,b,o,x,b,o,b,x,o won
o,x,b,o,o,x,x,x,o,o won
o,x,b,o,o,x,o,x,x,o won
o,x,b,o,b,x,o,x,b,o won
o,x,b,o,b,x,o,b,x,o won
o,x,b,o,b,b,o,x,x,o won
o,x,b,b,o,x,x,b,o,o won
o,x,b,b,o,x,b,x,o,o won
o,x,b,b,o,b,x,x,o,o won
o,o,x,x,o,x,x,o,b,o won
o,o,x,x,o,x,x,b,o,o won
o,o,x,x,o,x,b,x,o,o won
o,o,x,x,o,b,x,x,o,o won
o,o,x,x,o,b,x,o,x,o won
o,o,x,o,x,x,o,x,b,o won
o,o,x,o,x,b,o,x,x,o won
o,o,x,b,o,x,x,x,o,o won
o,o,o,x,x,o,x,x,b,o won
o,o,o,x,x,o,x,b,x,o won
o,o,o,x,x,o,b,x,x,o won
o,o,o,x,x,b,x,x,o,o won
o,o,o,x,x,b,x,o,x,o won
o,o,o,x,x,b,x,b,b,o won
o,o,o,x,x,b,o,x,x,o won
o,o,o,x,x,b,b,x,b,o won
o,o,o,x,x,b,b,b,x,o won
o,o,o,x,o,x,x,x,b,o won
o,o,o,x,o,x,x,b,x,o won
o,o,o,x,o,x,b,x,x,o won
o,o,o,x,b,x,x,x,o,o won
o,o,o,x,b,x,x,o,x,o won
o,o,o,x,b,x,x,b,b,o won
o,o,o,x,b,x,o,x,x,o won
o,o,o,x,b,x,b,x,b,o won
o,o,o,x,b,x,b,b,x,o won
o,o,o,x,b,b,x,x,b,o won
o,o,o,x,b,b,x,b,x,o won
o,o,o,x,b,b,b,x,x,o won
o,o,o,o,x,x,x,x,b,o won
o,o,o,o,x,x,x,b,x,o won
o,o,o,o,x,x,b,x,x,o won
o,o,o,b,x,x,x,x,o,o won
o,o,o,b,x,x,x,o,x,o won
o,o,o,b,x,x,x,b,b,o won
o,o,o,b,x,x,o,x,x,o won
o,o,o,b,x,x,b,x,b,o won
o,o,o,b,x,x,b,b,x,o won
o,o,o,b,x,b,x,x,b,o won
o,o,o,b,x,b,x,b,x,o won
o,o,o,b,x,b,b,x,x,o won
o,o,o,b,b,x,x,x,b,o won
o,o,o,b,b,x,x,b,x,o won
o,o,o,b,b,x,b,x,x,o won
o,o,b,x,o,x,x,x,o,o won
o,o,b,x,o,x,x,o,x,o won
o,o,b,o,x,x,o,x,x,o won
o,b,x,x,o,x,x,o,o,o won
o,b,x,x,o,x,o,x,o,o won
o,b,x,x,o,x,b,b,o,o won
o,b,x,x,o,o,x,x,o,o won
o,b,x,x,o,b,x,b,o,o won
o,b,x,x,o,b,b,x,o,o won
o,b,x,o,x,x,o,x,o,o won
o,b,x,o,x,x,o,b,b,o won
o,b,x,o,x,o,o,x,x,o won
o,b,x,o,x,b,o,x,b,o won
o,b,x,o,x,b,o,b,x,o won
o,b,x,o,o,x,x,x,o,o won
o,b,x,o,b,x,o,x,b,o won
o,b,x,o,b,b,o,x,x,o won
o,b,x,b,o,x,x,b,o,o won
o,b,x,b,o,x,b,x,o,o won
o,b,x,b,o,b,x,x,o,o won
o,b,o,x,x,o,x,x,o,o won
o,b,o,x,o,x,x,x,o,o won
o,b,o,x,o,x,o,x,x,o won
o,b,o,o,x,x,o,x,x,o won
o,b,b,x,o,x,x,b,o,o won
o,b,b,x,o,x,b,x,o,o won
o,b,b,x,o,b,x,x,o,o won
o,b,b,o,x,x,o,x,b,o won
o,b,b,o,x,x,o,b,x,o won
o,b,b,o,x,b,o,x,x,o won
o,b,b,o,b,x,o,x,x,o won
o,b,b,b,o,x,x,x,o,o won
b,x,x,x,x,o,o,o,o,o won
b,x,x,x,o,x,o,o,o,o won
b,x,x,x,b,b,o,o,o,o won
b,x,x,o,x,x,o,o,o,o won
b,x,x,o,o,o,x,x,o,o won
b,x,x,o,o,o,x,o,x,o won
b,x,x,o,o,o,x,b,b,o won
b,x,x,o,o,o,o,x,x,o won
b,x,x,o,o,o,b,x,b,o won
b,x,x,o,o,o,b,b,x,o won
b,x,x,b,x,b,o,o,o,o won
b,x,x,b,b,x,o,o,o,o won
b,x,o,x,x,o,x,o,o,o won
b,x,o,x,x,o,b,b,o,o won
b,x,o,x,o,x,o,x,o,o won
b,x,o,x,o,x,o,o,x,o won
b,x,o,x,o,x,o,b,b,o won
b,x,o,x,o,o,x,x,o,o won
b,x,o,x,o,o,o,x,x,o won
b,x,o,x,o,b,o,x,b,o won
b,x,o,x,o,b,o,b,x,o won
b,x,o,x,b,o,x,b,o,o won
b,x,o,x,b,o,b,x,o,o won
b,x,o,o,o,x,o,x,x,o won
b,x,o,b,x,o,x,b,o,o won
b,x,o,b,o,x,o,x,b,o won
b,x,o,b,o,x,o,b,x,o won
b,x,o,b,o,b,o,x,x,o won
b,x,o,b,b,o,x,x,o,o won
b,x,b,x,x,b,o,o,o,o won
b,x,b,x,b,x,o,o,o,o won
b,x,b,o,o,o,x,x,b,o won
b,x,b,o,o,o,x,b,x,o won
b,x,b,o,o,o,b,x,x,o won
b,x,b,b,x,x,o,o,o,o won
b,o,x,x,o,x,x,o,o,o won
b,o,x,x,o,x,b,o,b,o won
b,o,x,x,o,o,x,o,x,o won
b,o,x,x,o,b,x,o,b,o won
b,o,x,x,o,b,b,o,x,o won
b,o,x,b,o,x,x,o,b,o won
b,o,x,b,o,b,x,o,x,o won
b,o,o,x,x,o,x,x,o,o won
b,o,o,x,o,x,x,o,x,o won
b,o,o,x,o,x,o,x,x,o won
b,o,b,x,o,x,x,o,b,o won
b,o,b,x,o,x,b,o,x,o won
b,o,b,x,o,b,x,o,x,o won
b,o,b,b,o,x,x,o,x,o won
b,b,x,x,x,b,o,o,o,o won
b,b,x,x,b,x,o,o,o,o won
b,b,x,o,o,o,x,x,b,o won
b,b,x,o,o,o,x,b,x,o won
b,b,x,o,o,o,b,x,x,o won
b,b,x,b,x,x,o,o,o,o won
b,b,o,x,x,o,x,b,o,o won
b,b,o,x,x,o,b,x,o,o won
b,b,o,x,o,x,o,x,b,o won
b,b,o,x,o,x,o,b,x,o won
b,b,o,x,o,b,o,x,x,o won
b,b,o,x,b,o,x,x,o,o won
b,b,o,b,x,o,x,x,o,o won
b,b,o,b,o,x,o,x,x,o won
x,x,o,o,x,x,x,o,o,o won
x,x,o,o,o,x,x,x,o,o won
x,x,o,o,o,x,x,o,x,o won
x,o,x,x,x,o,o,x,o,o won
x,o,x,x,o,x,o,x,o,o won
x,o,x,x,o,o,o,x,x,o won
x,o,x,o,x,x,o,x,o,o won
x,o,x,o,o,x,x,x,o,o won
x,o,o,o,x,x,x,x,o,o won
o,x,x,x,x,o,o,o,x,o won
o,x,x,x,o,o,x,o,x,o won
o,x,x,x,o,o,o,x,x,o won
o,x,o,x,x,o,x,o,x,o won
o,x,o,x,o,x,x,o,x,o won
o,x,o,o,x,x,x,o,x,o won
o,o,x,x,x,o,o,x,x,o won
